Row Labels,Sum of Total Available Quantity
BOMCF155SL53-6467A,2
BOMCF155SL53-6467B,31
BOMCF155SL53-6471A,10
BOMCF155SL53-6471B,35
BOMCF155VL50-6063,0
BOMCF155X-FW0590,9
BOMCF155X-FW0591,14
BOMCF155X-FW0592,21
BOMCF155X-FW0593,12
BOMCF155XL50-6025,0
BOMCF162S-1226C,7
BOMCF162SC21L42-4448AI,0
BOMCF162SC21L42-4448AM,0
BOMCF162S-FW0008-C140,537
BOMCF164PL48-4945AI,0
BOMCF167R-FW0120,2
BOMCF167R-FW0527,21
BOMCF167SC28L42-4851,0
BOMCF167SC28L42-4852,0
BOMCF191R-6028,2
BOMCF191R-6094B,3
BOMCF191R-6142,3
BOMCF191R-6216,9
BOMCF191R-6219A,1
BOMCF191R-6219B,0
BOMCF191R-6231A,1
BOMCF191R-6231B,18
BOMCF191R-6231C,3
BOMCF191R-6244A,3
BOMCF191R-6244B,19
BOMCF191R-6246A,7
BOMCF191R-6247A,1
BOMCF191R-6247B,3
BOMCF191R-6580,1
BOMCF191R-6581,0
BOMCF191R-6584,5
BOMCF191R-FW0014,96
BOMCF191R-FW0015,97
BOMCF191R-FW0017,10
BOMCF191R-FW0247,54
BOMCF191R-FW0262-C261,98
BOMCF191R-FW0309,57
BOMCF191R-FW0394-C378,50
BOMCF191R-FW0397,16
BOMCF191R-FW0418,1
BOMCF191R-FW0533,137
BOMCF191R-FW0534,127
BOMCF191R-FW0536,111
BOMCF191RL53-6223B,0
BOMCF191RL53-6227A,2
BOMCF191RL53-6227B,4
BOMCF191RL53-6230B,7
BOMCF191RL53-6234A,1
BOMCF191RL53-6234B,2
BOMCF191RL53-6234C,2
BOMCF191RL53-6266A,14
BOMCF191RL53-6266B,21
BOMCF191RL53-6267A,48
BOMCF191RL53-6267B,38
BOMCF191RL53-6272A,9
BOMCF191RL53-6272B,13
BOMCF191RL53-6273A,17
BOMCF191RL53-6273B,10
BOMCF191RL53-6430A,33
BOMCF191RL53-6430B,42
BOMCF191RL53-6444,4
BOMCF191RL53-6468A,34
BOMCF191RL53-6468B,32
BOMCF191RL53-6470A,49
BOMCF191RL53-6470B,31
BOMCF191RL53-6472A,33
BOMCF191RL53-6472B,33
BOMCF191RL53-6485,23
BOMCF191RL53-6486,0
BOMCF191RL53-6487,60
BOMCF191RL53-6488,7
BOMCF191RL53-6489,21
BOMCF191RL53-6490,0
BOMCF191RL53-6491,21
BOMCF191RL53-6495,34
BOMCF191RL53-6497,36
BOMCF191RL53-6498,5
BOMCF191RL53-6499A,31
BOMCF191RL53-6499B,2
BOMCF191RL54-6175,33
BOMCF191RL54-6180,9
BOMCF191RL54-6185,4
BOMCF191RL54-6205,1
BOMCF191RL54-6206,0
BOMCF191RL54-6207,4
BOMCF191RL54-6208,15
BOMCF191RL54-6209,24
BOMCF191RL54-6223A,1
BOMCF191RL54-6236A,36
BOMCF191RL54-6236B,21
BOMCF191RL54-6237A,19
BOMCF191RL54-6237B,1
BOMCF191RL54-6259A,10
BOMCF191RL54-6259C,11
BOMCF191S-6221A,31
BOMCF191S-6221B,32
BOMCF191S-6228A,2
BOMCF191S-6228B,25
BOMCF191S-6256A,24
BOMCF191S-6256B,29
BOMCF191S-FW0307,108
BOMCF191S-FW0502,110
BOMCF191SL53-6347A,16
BOMCF191SL53-6347B,19
BOMCF191SL53-6353,17
BOMCF191SL53-6354,1
BOMCF191SL53-6355,49
BOMCF191SL53-6357A,64
BOMCF191SL53-6357B,69
