Row Labels,Sum of Total Available Quantity,new style code
BOMCF162S-1226C,7,BOMCF162S-1226C
BOMCF162SC21L42-4448AI,0,BOMCF162SC21L42-4448AI
BOMCF162SC21L42-4448AM,0,BOMCF162SC21L42-4448AM
BOMCF162S-FW0008-C140,537,BOMCF162S-FW0008-C140
BOMCF164PL48-4945AI,0,BOMCF164PL48-4945AI
BOMCF167R-FW0120,2,BOMCF167R-FW0120
BOMCF167R-FW0527,21,BOMCF167R-FW0527
BOMCF167SC28L42-4851,0,BOMCF167SC28L42-4851
BOMCF167SC28L42-4852,0,BOMCF167SC28L42-4852
BOMCF191R-6028,2,BOMCF191R-6028
BOMCF191R-6094B,3,BOMCF191R-6094B
BOMCF191R-6142,3,BOMCF191R-6142
BOMCF191R-6216,9,BOMCF191R-6216
BOMCF191R-6219A,1,BOMCF191R-6219A
BOMCF191R-6219B,0,BOMCF191R-6219B
BOMCF191R-6231A,1,BOMCF191R-6231A
BOMCF191R-6231B,18,BOMCF191R-6231B
BOMCF191R-6231C,3,BOMCF191R-6231C
BOMCF191R-6244A,3,BOMCF191R-6244A
BOMCF191R-6244B,19,BOMCF191R-6244B
BOMCF191R-6246A,7,BOMCF191R-6246A
BOMCF191R-6247A,1,BOMCF191R-6247A
BOMCF191R-6247B,3,BOMCF191R-6247B
BOMCF191R-6580,1,BOMCF191R-6580
BOMCF191R-6581,0,BOMCF191R-6581
BOMCF191R-6584,5,BOMCF191R-6584
BOMCF191R-FW0014,96,BOMCF191R-FW0014
BOMCF191R-FW0015,97,BOMCF191R-FW0015
BOMCF191R-FW0017,10,BOMCF191R-FW0017
BOMCF191R-FW0247,54,BOMCF191R-FW0247
BOMCF191R-FW0262-C261,98,BOMCF191R-FW0262-C261
BOMCF191R-FW0309,57,BOMCF191R-FW0309
BOMCF191R-FW0394-C378,50,BOMCF191R-FW0394-C378
BOMCF191R-FW0397,16,BOMCF191R-FW0397
BOMCF191R-FW0418,1,BOMCF191R-FW0418
BOMCF191R-FW0533,137,BOMCF191R-FW0533
BOMCF191R-FW0534,127,BOMCF191R-FW0534
BOMCF191R-FW0536,111,BOMCF191R-FW0536
BOMCF191RL53-6223B,0,BOMCF191RL53-6223B
BOMCF191RL53-6227A,2,BOMCF191RL53-6227A
BOMCF191RL53-6227B,4,BOMCF191RL53-6227B
BOMCF191RL53-6230B,7,BOMCF191RL53-6230B
BOMCF191RL53-6234A,1,BOMCF191RL53-6234A
BOMCF191RL53-6234B,2,BOMCF191RL53-6234B
BOMCF191RL53-6234C,2,BOMCF191RL53-6234C
BOMCF191RL53-6266A,14,BOMCF191RL53-6266A
BOMCF191RL53-6266B,21,BOMCF191RL53-6266B
BOMCF191RL53-6267A,48,BOMCF191RL53-6267A
BOMCF191RL53-6267B,38,BOMCF191RL53-6267B
BOMCF191RL53-6272A,9,BOMCF191RL53-6272A
BOMCF191RL53-6272B,13,BOMCF191RL53-6272B
BOMCF191RL53-6273A,17,BOMCF191RL53-6273A
BOMCF191RL53-6273B,10,BOMCF191RL53-6273B
BOMCF191RL53-6430A,33,BOMCF191RL53-6430A
BOMCF191RL53-6430B,42,BOMCF191RL53-6430B
BOMCF191RL53-6444,4,BOMCF191RL53-6444
BOMCF191RL53-6468A,34,BOMCF191RL53-6468A
BOMCF191RL53-6468B,32,BOMCF191RL53-6468B
BOMCF191RL53-6470A,49,BOMCF191RL53-6470A
BOMCF191RL53-6470B,31,BOMCF191RL53-6470B
BOMCF191RL53-6472A,33,BOMCF191RL53-6472A
BOMCF191RL53-6472B,33,BOMCF191RL53-6472B
BOMCF191RL53-6485,23,BOMCF191RL53-6485
BOMCF191RL53-6486,0,BOMCF191RL53-6486
BOMCF191RL53-6487,60,BOMCF191RL53-6487
